k	Fonction	Dist	tpsExe	Trajet	Iter
1	f3	1911.839822006933	0.11476399999997966	[5 2 3 1 0 9 7 8 4 6]	499
1	f2	1421.6868749814091	0.1092909999999847	[2 1 5 6 4 7 8 9 0 3]	49
1	f1	1421.6868749814091	0.1084510000000023	[8 7 4 6 5 1 2 3 0 9]	251
1	f3	2843.9069580421487	0.11454900000001089	[2 5 3 7 4 0 9 1 8 6]	499
1	f2	1421.6868749814091	0.10867899999999509	[3 2 1 5 6 4 7 8 9 0]	200
1	f1	1421.6868749814091	0.10807900000003201	[4 6 5 1 2 3 0 9 8 7]	292
1	f3	2676.884281112557	0.11528199999997923	[7 3 5 9 8 4 2 1 6 0]	499
1	f2	1421.6868749814091	0.10926299999999856	[8 7 4 6 5 1 2 3 0 9]	185
1	f1	1421.6868749814091	0.12019599999996444	[1 2 3 0 9 8 7 4 6 5]	363
1	f3	1821.847462283374	0.12568200000004026	[5 0 3 6 4 7 8 9 2 1]	498
1	f2	1421.6868749814091	0.12198699999999008	[0 3 2 1 5 6 4 7 8 9]	216
1	f1	1421.6868749814091	0.11587800000000925	[8 7 4 6 5 1 2 3 0 9]	95
1	f3	2172.357115966293	0.11521199999998544	[1 5 0 9 3 2 7 6 4 8]	499
1	f2	1421.6868749814091	0.11072400000000471	[0 3 2 1 5 6 4 7 8 9]	34
1	f1	1421.6868749814091	0.11200200000001814	[4 6 5 1 2 3 0 9 8 7]	418
1	f3	2279.91493073555	0.1205789999999638	[3 2 5 4 1 9 8 7 6 0]	497
1	f2	1421.6868749814091	0.11079300000000103	[4 6 5 1 2 3 0 9 8 7]	140
1	f1	1421.6868749814091	0.1098739999999907	[6 5 1 2 3 0 9 8 7 4]	77
1	f3	2410.84947130774	0.1152150000000347	[3 8 7 4 2 6 0 9 1 5]	498
1	f2	1421.6868749814093	0.11198899999999412	[4 7 8 9 0 3 2 1 5 6]	155
1	f1	1421.6868749814091	0.11734700000005205	[3 2 1 5 6 4 7 8 9 0]	487
1	f3	2154.574905666479	0.12547599999999193	[7 3 9 0 6 1 5 2 8 4]	498
1	f2	1421.6868749814091	0.1202570000000378	[1 5 6 4 7 8 9 0 3 2]	188
1	f1	1421.6868749814091	0.12247800000000097	[2 1 5 6 4 7 8 9 0 3]	81
1	f3	2431.4863079908882	0.11433999999997013	[0 2 5 4 7 6 3 1 8 9]	499
1	f2	1421.6868749814091	0.11104000000000269	[5 6 4 7 8 9 0 3 2 1]	79
1	f1	1632.9153184670415	0.11477800000000116	[8 9 2 3 7 4 6 5 1 0]	61
1	f3	2108.0077048093967	0.11720399999995834	[0 7 5 4 6 1 8 9 2 3]	498
1	f2	1421.6868749814091	0.10925199999996948	[3 0 9 8 7 4 6 5 1 2]	217
1	f1	1421.6868749814091	0.1106380000000513	[0 3 2 1 5 6 4 7 8 9]	187
1	f3	2592.483807665432	0.11512099999998782	[5 9 4 2 3 1 8 0 7 6]	499
1	f2	1421.6868749814093	0.10980299999999943	[4 7 8 9 0 3 2 1 5 6]	117
1	f1	1421.6868749814091	0.11008500000002641	[4 6 5 1 2 3 0 9 8 7]	310
1	f3	2390.8991989005117	0.11780999999996311	[8 0 9 2 6 4 7 5 3 1]	499
1	f2	1632.9153184670415	0.11092800000000125	[9 2 3 7 4 6 5 1 0 8]	102
1	f1	1632.9153184670415	0.11062800000001971	[1 0 8 9 2 3 7 4 6 5]	42
1	f3	1910.0601321355696	0.11602300000004107	[9 0 7 8 5 1 6 4 3 2]	498
1	f2	1421.6868749814091	0.10885899999999538	[3 2 1 5 6 4 7 8 9 0]	338
1	f1	1632.9153184670413	0.11033200000002807	[3 7 4 6 5 1 0 8 9 2]	49
1	f3	1968.1414419382897	0.11725899999999001	[3 2 8 0 5 1 6 7 4 9]	499
1	f2	1421.6868749814091	0.11004100000002381	[0 3 2 1 5 6 4 7 8 9]	119
1	f1	1421.6868749814091	0.11607099999997672	[7 8 9 0 3 2 1 5 6 4]	219
1	f3	2117.741069896313	0.11599599999999555	[4 3 2 0 9 8 1 6 5 7]	495
1	f2	1421.6868749814091	0.11117300000000796	[4 6 5 1 2 3 0 9 8 7]	97
1	f1	1421.6868749814091	0.1113149999999905	[3 2 1 5 6 4 7 8 9 0]	138
1	f3	2673.6809713620137	0.11781500000000733	[8 9 5 2 7 3 6 4 1 0]	499
1	f2	1421.6868749814091	0.11037700000002815	[2 1 5 6 4 7 8 9 0 3]	157
1	f1	1421.6868749814091	0.10950800000000527	[6 5 1 2 3 0 9 8 7 4]	183
1	f3	2941.541389790738	0.11656899999996995	[6 9 4 2 7 0 8 1 5 3]	499
1	f2	1421.6868749814091	0.10946999999998752	[8 7 4 6 5 1 2 3 0 9]	173
1	f1	1421.6868749814091	0.11560500000001639	[1 5 6 4 7 8 9 0 3 2]	86
1	f3	2297.427667253173	0.12643800000000738	[8 4 6 5 2 0 9 7 1 3]	499
1	f2	1421.6868749814093	0.12213600000001179	[5 1 2 3 0 9 8 7 4 6]	118
1	f1	1421.6868749814093	0.11000300000000607	[5 1 2 3 0 9 8 7 4 6]	147
1	f3	2115.743590533059	0.11718999999999369	[4 2 3 9 8 7 6 0 5 1]	497
1	f2	1421.6868749814091	0.11018500000000131	[6 5 1 2 3 0 9 8 7 4]	119
1	f1	1708.0788963491614	0.11081799999999475	[0 5 1 2 3 6 4 7 8 9]	240
1	f3	2091.7042889172612	0.11583300000000918	[2 0 1 6 4 7 5 9 8 3]	495
